sample,uptime_sec,status,cpu_percent,cpu_user,cpu_system,rss_mb,vms_mb,shared_mb,data_mb,text_mb,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars,ctx_voluntary,ctx_involuntary,open_files,fds,threads,cpu_affinity
22,630262.8295969963,running,0.0,3088.73265152,1874.339823616,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76115851.0,0.0,69.0,149.0,92.0,
23,630263.8257842064,running,0.0,3088.756506624,1874.348212224,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76116054.0,0.0,69.0,151.0,92.0,
24,630264.8315479755,running,0.0,3088.77197312,1874.355290112,926.5,439222.125,,,,0.0,0.0,0.0,0.0,,,76116246.0,0.0,71.0,152.0,92.0,
25,630265.8260800838,running,0.0,3088.847470592,1874.440880128,926.515625,439222.421875,,,,0.0,0.0,0.0,0.0,,,76116519.0,0.0,72.0,155.0,93.0,
26,630266.8281669617,running,0.0,3088.998465536,1874.598690816,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76116885.0,0.0,73.0,155.0,94.0,
27,630267.8282179832,running,0.0,3089.010786304,1874.609831936,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117061.0,0.0,73.0,153.0,94.0,
28,630268.8263940811,running,0.0,3089.014194176,1874.61271552,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117197.0,0.0,73.0,153.0,94.0,
29,630269.821532011,running,0.0,3089.017339904,1874.614943744,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117306.0,0.0,73.0,153.0,94.0,
30,630270.8263921738,running,0.0,3089.020223488,1874.61861376,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117399.0,0.0,73.0,153.0,94.0,
31,630271.8256371021,running,0.0,3089.024155648,1874.622021632,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117555.0,0.0,73.0,153.0,94.0,
32,630272.82498312,running,0.0,3089.027039232,1874.623987712,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117666.0,0.0,73.0,153.0,94.0,
33,630273.820854187,running,0.0,3089.03018496,1874.629492736,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117792.0,0.0,73.0,153.0,94.0,
34,630274.8241271973,running,0.0,3089.033592832,1874.63172096,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76117904.0,0.0,73.0,153.0,94.0,
35,630275.8245830536,running,0.0,3089.036476416,1874.634080256,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118028.0,0.0,73.0,153.0,94.0,
36,630276.8310761452,running,0.0,3089.043816448,1874.640633856,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118234.0,0.0,75.0,155.0,94.0,
37,630277.8282892704,running,0.0,3089.046962176,1874.64286208,926.546875,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118339.0,0.0,73.0,153.0,94.0,
38,630278.826791048,running,0.0,3089.05115648,1874.646925312,926.546875,439223.015625,,,,0.0,0.0,0.0,0.0,,,76118472.0,0.0,71.0,151.0,95.0,
39,630279.8274440765,running,0.0,3089.055612928,1874.650202112,926.53125,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118602.0,0.0,71.0,151.0,94.0,
40,630280.8271150589,running,0.0,3089.058234368,1874.652168192,926.53125,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118728.0,0.0,71.0,151.0,94.0,
41,630281.8229153156,running,0.0,3089.060593664,1874.653872128,926.53125,439222.71875,,,,0.0,0.0,0.0,0.0,,,76118832.0,0.0,71.0,151.0,94.0,
42,630282.8287110329,running,0.0,3089.151819776,1874.659377152,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119120.0,0.0,71.0,151.0,94.0,
